CustId,Date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1777,4/19/2024,1,3,2,3,3,3,2,3,5
1778,6/28/2024,3,1,4,3,3,1,4,4,1
1779,3/31/2024,4,2,4,2,1,2,5,2,1
1780,5/5/2024,3,5,1,2,2,5,2,3,5
1781,6/25/2024,5,1,3,1,2,2,1,4,4
1782,5/24/2024,2,3,2,4,4,3,4,3,4
1783,5/28/2024,1,1,4,5,1,4,2,5,4
1784,4/8/2024,4,1,4,4,1,3,2,4,1
1785,3/25/2024,2,5,4,4,1,2,1,2,5
1786,6/25/2024,3,5,1,3,3,2,3,5,1
1787,6/23/2024,3,3,1,5,1,4,3,2,5
1788,4/9/2024,1,5,4,2,4,4,1,3,3
1789,4/14/2024,4,4,1,2,4,3,4,2,2
1790,6/11/2024,3,3,3,2,4,2,1,3,3
1791,5/27/2024,5,4,3,2,1,5,5,2,2
1792,3/24/2024,4,3,4,2,1,2,1,1,2
1793,4/1/2024,2,1,2,2,1,4,5,4,1
1794,3/17/2024,1,1,2,1,1,5,2,3,4
1795,6/4/2024,3,3,1,1,1,5,4,2,2
1796,6/4/2024,2,2,1,2,4,5,3,5,3
1797,4/22/2024,5,2,3,2,3,4,3,2,2
1798,4/2/2024,2,2,2,2,3,3,4,5,5
1799,3/18/2024,4,5,2,1,1,4,2,1,2
1800,6/12/2024,5,5,4,1,1,2,2,3,2
1801,5/22/2024,4,4,2,2,3,3,1,4,3
1802,4/25/2024,1,4,4,2,4,4,1,1,5
1803,6/2/2024,2,2,1,2,4,3,4,4,3
1804,4/20/2024,2,1,3,4,3,4,3,1,2
1805,6/20/2024,5,4,3,3,4,5,5,4,2
1806,4/12/2024,2,1,4,3,1,4,2,5,5
1807,6/21/2024,2,5,5,4,2,3,5,2,1
1808,6/21/2024,3,3,2,1,4,2,2,4,3
1809,6/29/2024,5,4,2,3,5,3,5,1,4
1810,3/18/2024,1,3,5,4,1,1,4,5,4
1811,4/21/2024,4,2,1,2,2,2,1,3,4
1812,3/25/2024,3,1,5,5,4,1,4,5,2
1813,5/28/2024,2,1,5,1,4,2,2,3,4
1814,5/10/2024,4,3,4,2,4,3,5,4,2
1815,3/28/2024,2,1,1,2,4,1,4,1,2
1816,5/15/2024,5,2,5,4,5,5,3,1,3
1817,6/14/2024,2,5,3,2,5,1,2,3,3
1818,5/10/2024,2,1,4,5,1,1,4,3,3
1819,6/26/2024,1,2,1,3,5,3,1,4,1
1820,3/29/2024,3,2,4,3,3,4,5,5,5
1821,4/2/2024,3,1,5,1,5,4,2,3,4
1822,3/30/2024,1,5,1,3,1,1,1,1,2
1823,6/20/2024,5,5,1,3,2,3,2,3,3
1824,3/30/2024,2,2,2,3,1,1,5,5,2
1825,4/21/2024,2,2,5,1,4,4,2,4,4
1826,3/26/2024,1,1,3,1,5,3,2,2,5
1827,5/13/2024,1,5,4,5,5,4,3,4,3
1828,6/4/2024,2,3,5,4,5,4,5,5,5
1829,5/8/2024,1,1,5,4,5,2,5,2,2
1830,6/25/2024,4,3,1,3,2,3,4,5,2
1831,5/23/2024,4,2,2,2,5,4,5,5,3
1832,5/13/2024,2,3,3,3,3,3,5,3,2
1833,4/9/2024,5,2,5,4,2,4,3,4,3
1834,6/16/2024,5,1,2,5,3,4,1,1,4
1835,6/30/2024,3,5,5,3,4,2,3,5,3
1836,4/5/2024,3,1,1,1,1,5,3,1,1
1837,4/20/2024,4,1,2,2,2,2,1,1,4
1838,3/29/2024,5,4,2,3,1,2,1,5,4
1839,3/26/2024,5,4,5,3,1,4,2,5,4
1840,5/18/2024,2,5,3,3,2,3,2,4,3
1841,3/28/2024,3,5,1,1,1,2,3,5,5
1842,5/12/2024,3,1,1,4,3,2,5,3,2
1843,4/7/2024,4,5,3,1,4,3,2,2,3
1844,4/16/2024,1,1,5,2,1,1,3,3,3
1845,5/29/2024,5,2,3,1,5,5,1,2,3
1846,4/7/2024,1,3,4,5,3,5,5,2,2
1847,6/1/2024,3,2,5,4,2,2,1,1,2
1848,6/10/2024,4,3,4,2,1,5,2,3,5
1849,4/27/2024,2,5,3,5,2,5,4,2,2
1850,4/25/2024,3,1,2,5,4,2,2,2,4
1851,5/17/2024,1,1,3,1,1,1,5,3,5
1852,5/30/2024,4,5,3,5,3,1,5,1,1
1853,3/27/2024,3,5,5,4,4,5,1,2,2
1854,3/23/2024,5,3,1,1,1,2,3,3,2
1855,5/26/2024,1,4,1,1,4,5,2,1,5
1856,3/24/2024,2,1,4,5,5,5,1,5,2
1857,3/18/2024,2,4,1,2,2,1,1,2,1
1858,4/13/2024,3,4,2,5,4,4,3,2,5
1859,6/11/2024,5,3,1,1,1,1,2,5,5
1860,6/27/2024,1,3,5,1,1,3,2,4,1
1861,4/9/2024,5,2,4,2,3,4,3,1,1
1862,3/22/2024,5,2,4,5,3,3,4,3,2
1863,4/28/2024,2,1,4,3,2,1,2,1,5
1864,6/18/2024,4,5,5,4,1,5,1,3,2
1865,3/19/2024,4,2,4,2,2,1,1,4,5
1866,4/28/2024,5,2,5,3,2,1,1,3,4
1867,3/29/2024,1,4,3,3,5,4,4,2,2
1868,3/31/2024,5,3,1,2,2,5,5,2,5
1869,5/24/2024,3,4,3,3,5,2,3,5,5
1870,3/19/2024,1,4,3,3,3,3,1,2,3
1871,4/18/2024,5,3,5,5,1,3,4,5,5
1872,5/24/2024,3,4,3,4,1,1,2,4,5
1873,6/19/2024,2,3,2,1,1,4,1,1,1
1874,3/17/2024,1,4,2,3,1,2,1,4,3
1875,6/9/2024,2,5,4,4,3,3,4,3,1
1876,3/25/2024,5,3,2,1,1,2,1,4,1
1877,3/30/2024,1,4,3,3,4,3,4,5,1
1878,6/11/2024,2,1,1,1,2,5,3,3,1
1879,4/29/2024,1,4,2,4,5,4,4,1,3
1880,6/25/2024,4,2,2,2,4,4,4,5,2
1881,5/9/2024,3,1,1,1,3,2,1,2,4
1882,4/22/2024,4,4,1,3,1,5,2,3,3
1883,4/17/2024,3,2,5,5,2,2,2,1,5
1884,5/5/2024,4,5,1,2,2,2,3,4,2
1885,4/15/2024,2,4,1,2,2,2,3,4,1
1886,6/23/2024,4,5,5,5,3,2,5,5,5
1887,3/25/2024,4,1,3,4,1,1,2,3,4
1888,3/24/2024,4,1,4,1,3,3,5,4,5
1889,3/27/2024,5,4,2,5,4,5,2,1,3
1890,6/24/2024,4,5,2,2,5,4,4,4,5
1891,6/21/2024,4,2,2,5,5,5,4,1,1
1892,5/2/2024,5,2,2,5,3,1,2,1,2
1893,4/22/2024,5,1,4,4,5,1,3,4,4
1894,3/25/2024,2,4,3,1,5,3,5,3,1
1895,5/27/2024,5,1,4,2,1,3,1,5,5
1896,4/30/2024,4,5,4,4,3,5,1,4,1
1897,4/21/2024,3,2,2,2,4,4,3,1,2
1898,3/22/2024,1,2,2,5,3,3,3,3,1
1899,6/13/2024,4,1,2,4,4,5,3,3,5
1900,3/27/2024,1,4,1,1,4,3,1,2,5
1901,3/30/2024,2,2,2,4,2,1,3,4,5
1902,6/6/2024,2,4,4,2,2,3,2,5,5
1903,4/21/2024,4,3,4,4,2,3,4,4,2
1904,4/10/2024,4,2,4,3,3,2,3,4,1
1905,6/27/2024,1,3,1,4,2,1,2,1,3
1906,3/23/2024,4,3,5,4,2,2,5,2,4
1907,6/18/2024,3,2,2,4,1,3,4,5,3
1908,5/8/2024,5,3,5,2,2,5,1,2,2
1909,4/25/2024,4,4,4,1,3,5,2,2,3
1910,5/18/2024,2,4,3,5,1,3,3,1,1
1911,4/22/2024,2,2,1,2,2,5,3,1,4
1912,6/5/2024,3,4,3,1,1,4,5,4,1
1913,4/3/2024,3,5,3,2,4,2,2,1,2
1914,3/21/2024,1,2,3,3,4,2,2,4,2
1915,3/25/2024,5,2,1,1,5,5,1,3,5
1916,4/2/2024,5,5,2,5,4,4,1,2,4
1917,4/8/2024,3,1,1,3,4,1,4,5,2
1918,5/23/2024,5,3,4,4,3,1,2,5,1
1919,3/18/2024,2,2,3,2,3,5,2,3,2
1920,3/31/2024,5,5,4,4,1,5,1,1,5
1921,3/31/2024,4,1,5,5,2,4,4,3,5
1922,5/2/2024,2,5,1,1,1,3,3,5,4
1923,4/4/2024,4,2,3,3,3,1,1,4,5
1924,4/7/2024,2,3,1,1,2,4,3,2,3
1925,5/18/2024,4,5,3,2,3,3,3,1,2
